stop_id,stop_name,stop_lat,stop_lon
466A13,Br. Altamira Chiquita,4.54464801286,-74.08425743544
600A11,Br. Quintas del Sur,4.54469199958,-74.14271699980
491A13,Canadá La Guirá II Sector,4.54540910929,-74.09721403490
266A11,Vista Hermosa,4.54556399699,-74.14883184463
442A11,Canchas Nueva Esperanza,4.54571815481,-74.16293117722
141A11,Br. Brisas Del Volador,4.54576749620,-74.15598024008
581A13,Br. Moralba,4.54588500006,-74.08286900024
164A13,Urb. Villa del Cerro,4.54594271321,-74.09664642504
582A13,Br. Moralba,4.54607700017,-74.08176999979
577A11,Br. Sotavento,4.54618989367,-74.13760093684
016A12,Parque Entrenubes,4.54646727106,-74.10296565299
260A12,IED Colombia Viva,4.54654707556,-74.10958127960
263A11,Vista Hermosa,4.54659195480,-74.15050628201
441A11,Parque Illimaní,4.54681392686,-74.16149498576
289A11,Br. Quintas Del Sur,4.54691000932,-74.13845811178
560A13,Br. La Península El Paraíso,4.54694916605,-74.10103585245
507A13,Br. La Península El Paraíso,4.54707360896,-74.10096554471
249A12,Br. San Agustín,4.54863887401,-74.11369475443
287A11,Br. La Florida Sur,4.54874673745,-74.13986044904
157A13,Quebrada La Chiguaza,4.54906644717,-74.10060921387
520A11,Br. Lucero Sur Bajo,4.54952700009,-74.14176499955
130B11,Br. El Mirador,4.54997400012,-74.15995799962
519A13,Br. La Victoria,4.55105027424,-74.09301785099
129A12,Br. Molinos del Sur,4.55247940652,-74.11838315525
302B11,IED Compartir Recuerdo,4.55313537961,-74.14182254101
517A12,Br. Marruecos,4.55334538690,-74.11495585232
366A13,Br. Las Guacamayas,4.55345973074,-74.09775703414
328A11,JAC Lucero Medio,4.55371643838,-74.14073554067
279A12,Br. Los Molinos I Sector,4.55429913401,-74.11095816318
016A13,Br. La Victoria,4.55433314732,-74.09224654942
007A11,Br. Lucero del Sur,4.55469913215,-74.13778786514
456A13,Horacio Orjuela,4.55653277116,-74.08788457133
502A11,Br. Gibraltar II,4.55703228957,-74.14215937995
363A11,Br. Abraham Lincoln,4.55711341105,-74.12368691141
131A12,C.C. Caracas,4.55751630490,-74.12141719612
