route_id,route_short_name,route_long_name,route_type
K42,K42,Ruta San Mateo hasta Corferias,3
B52,B52,Ruta Portal Americas hasta Portal Norte,3
B56,B56,Ruta Heroes hasta Portal Suba,3
1203,6-2,Ruta PORTAL TUNAL - SAN FRANCISCO,3
858,3-7,Ruta PORTAL USME - AV CARACAS,3
860,3-9,Ruta PORTAL USME - MARICHUELA,3
966,19-7,Ruta CALLE 146 - LA SIRENA,3
967,19-12,Ruta TOBERIN - CANTALEJO,3
862,9-10,Ruta PORTAL AMERICAS - ROMA,3
899,9-9,Ruta PORTAL AMERICAS - BOSA SANTA FE,3
954,10-11,Ruta BELLA FLOR - BELLA FLOR,3
963,17-3,Ruta AV ROJAS - MODELIA,3
968,19-2,Ruta ALCALA - COLINA,3
969,19-11,Ruta CANODROMO - PRADO VERANIEGO,3
998,18-13,Ruta LOMITAS - CAPILLA,3
1029,10-2,Ruta PORTAL SUR - BOSA CENTRO,3
1053,11-3,Ruta PORTAL SUBA - VILLA MARIA,3
1774,8-4,Ruta BANDERAS - CORABASTOS,3
1064,11-7,Ruta PORTAL SUBA - PINAR,3
1771,6-9,Ruta PORTAL TUNAL - ARBORIZADORA ALTA,3
1772,7-1,Ruta CALLE 40 SUR - URIBE URIBE,3
1773,7-1,Ruta CALLE 40 SUR - URIBE URIBE,3
1775,8-3,Ruta BANDERAS - CASTILLA,3
1777,8-6,Ruta BANDERAS - TIMIZA,3
1779,9-7,Ruta PORTAL AMERICAS - BOSA LA INDEPENDENCIA,3
1780,3-11,Ruta PORTAL USME - FISCALA,3
489,TC14,Ruta PORTAL SUR - NUEVA ROMA,3
1792,TC11,Ruta GENERAL SANTANDER - MADELENA,3
1820,148,Ruta VILLA TERESITA - DOLA LILIANA,3
1837,13-5,Ruta AV 1 MAYO - PALERMO SUR,3
1843,CSM,Ruta PORTAL SUR - SAN MATEO,3
1887,19-9,Ruta CARDIO INFANTIL - BARRANCAS NORTE,3
1207,6-7,Ruta PORTAL TUNAL - SAN JOAQUIN,3
1208,6-8,Ruta PORTAL TUNAL - VISTA HERMOSA,3
1219,9-11,Ruta PORTAL AMERICAS - FRANJA SECA,3
823,4-2,Ruta MOLINOS - DIANA TURBAY,3
1220,9-2,Ruta PORTAL AMERICAS - METROVIVIENDA,3
1221,9-3,Ruta PORTAL AMERICAS - BOSA LA LIBERTAD,3
1222,9-4,Ruta PORTAL AMERICAS - PATIO BONITO,3
1223,9-5,Ruta PORTAL AMERICAS - AV. TINTAL,3
1224,9-6,Ruta PORTAL AMERICAS - AV. VILLAVICENCIO,3
2552,15-3,Ruta AV 1 MAYO - HORACIO ORJUELA,3
2553,15-4,Ruta AV 1 MAYO - RAMAJAL,3
2745,N14,Ruta MARANTA - LA Y,3
2746,N14,Ruta LA Y - MARANTA,3
2748,N15,Ruta COMPARTIR - QUINTAS DEL SUR,3
2749,N15,Ruta QUINTAS DEL SUR - COMPARTIR,3
2750,N10,Ruta SAN JOAQUIN - JARDIN,3
2751,N10,Ruta JARDIN - SAN JOAQUIN,3
65,17-7,Ruta GOBERNACION - LA ESMERALDA,3
1304,492,Ruta ENGATIVA - PALERMO,3
1345,18-6,Ruta SERREZUELA - SERREZUELA,3
1363,T08,Ruta PORTAL SUBA - TUNA ALTA,3
848,10-8,Ruta PORTAL SUR - OLARTE - TIMIZA,3
1399,83,Ruta BOSQUE POPULAR - TEUSAQUILLO,3
1402,539,Ruta ENGATIVA CENTRO - EL UVAL,3
1406,702,Ruta SABANA DEL DORADO - CORABASTOS,3
1513,8-10,Ruta MUNDO AVENTURA - PROVIVIENDA ORIENTAL,3
825,5-2,Ruta AV CALI - CARRERA 91,3
1658,16-5,Ruta PORTAL EL DORADO - VILLA AMALIA,3
338,C36,Ruta BACHUE - MONTES,3
838,4-1,Ruta MOLINOS - BOCHICA,3
82,738,Ruta SAN CRISTOBAL SUR - JAZMIN OCCIDENTAL,3
109,17-2,Ruta AV ROJAS - SANTA HELENITA,3
1662,14-4,Ruta BICENTENARIO - LOS LACHES,3
1682,7-3,Ruta CALLE 40 SUR - INGLES,3
1683,1-6,Ruta PORTAL 80 - BOLIVIA ORIENTAL,3
1684,1-10,Ruta PORTAL 80 - BOLIVIA BOCHICA II,3
1689,5-4,Ruta GRANJA - FLORIDA,3
1701,330,Ruta LA ESTRELLITA - EL UVAL,3
1726,1-1,Ruta PORTAL 80 - ALAMOS,3
1728,11-1,Ruta PORTAL SUBA - AVENIDA SUBA,3
1730,11-2,Ruta PORTAL SUBA - SAN ANDRES,3
1731,12-1,Ruta GENERAL SANTANDER - FATIMA,3
128,37,Ruta EL PALMAR - UNICENTRO,3
1720,T52,Ruta TOBERIN - CALLE 167,3
209,17-1,Ruta AV ROJAS - VILLA LUZ,3
265,C37,Ruta MAZUREN - VILLAS DE GRANADA,3
299,83,Ruta TEUSAQUILLO - BOSQUE POPULAR,3
310,806,Ruta SABANA DEL DORADO - PROVIDENCIA ALTA,3
2431,10-10,Ruta PORTAL SUR - CAZUCA,3
411,E25,Ruta ENGATIVA CENTRO - LOURDES,3
541,P39,Ruta ARABIA - ZONA FRANCA,3
852,3-3,Ruta PORTAL USME - CHUNIZA,3
578,260,Ruta LA ESTRELLITA - ARABIA,3
854,3-1,Ruta PORTAL USME - LA AURORA,3
600,489,Ruta UNICENTRO - LA RESURRECCION,3
603,E57,Ruta EL UVAL - CASA BLANCA,3
628,18-11,Ruta UNICERROS - UNICERROS,3
855,3-2,Ruta PORTAL USME - SANTA LIBRADA,3
779,13-10,Ruta PORTAL 20 JULIO - VILLA DEL CERRO,3
801,7-2,Ruta CALLE 40 SUR - TUNAL,3
822,5-1,Ruta GRANJA - SUBA RINCON,3
875,P44,Ruta BOSA SANTA FE - ARABIA,3
882,8-2,Ruta BANDERAS - KENNEDY HOSPITAL,3
897,9-8,Ruta PORTAL AMERICAS - PORVENIR,3
912,626B,Ruta VILLA GLADYS - GALAN,3
1741,16-2,Ruta PORTAL EL DORADO - ENGATIVA CENTRO,3
923,105,Ruta BOITA - BACHUE,3
1742,16-3,Ruta PORTAL EL DORADO - AV. ELDORADO - ALAMOS,3
936,921,Ruta PUENTE GRANDE - ACACIAS,3
937,921,Ruta ACACIAS - PUENTE GRANDE,3
953,6-18,Ruta PORTAL TUNAL - MOCHUELO BAJO - PASQUILLA,3
1079,C36,Ruta MONTES - BACHUE,3
1196,16,Ruta PORTAL DE USME - PORTAL AMERICAS,3
1167,7,Ruta PALMITAS - CONSUELO,3
1201,6-12,Ruta PORTAL TUNAL - VILLA GLORIA,3
1204,6-4,Ruta PORTAL TUNAL - PARAISO,3
1205,6-5,Ruta PORTAL TUNAL - TESORO,3
1232,786,Ruta METROVIVIENDA - DIANA TURBAY-PUENTES,3
1294,10-6,Ruta PORTAL SUR - PERDOMO,3
1325,466,Ruta UNICENTRO - SABANA DEL DORADO,3
1334,18-9,Ruta CERRO NORTE - CERRO NORTE,3
1335,18-7,Ruta SORATAMA - SORATAMA,3
1398,802,Ruta SABANA DEL DORADO - USME CENTRO,3
1403,740,Ruta CANADA GUIRA - ENGATIVA LA TORTIGUA,3
1426,252,Ruta JAQUELINE - CENTRO,3
1443,C201,Ruta PARAISO - PATIO BONITO,3
1743,16-4,Ruta PORTAL EL DORADO - EL MUELLE,3
1444,C201,Ruta PATIO BONITO - PARAISO,3
1744,16-6,Ruta PORTAL EL DORADO - LA FAENA,3
1448,910,Ruta LA RIVERA - USME PUEBLO,3
1449,910,Ruta USME PUEBLO - LA RIVERA,3
1508,11-5,Ruta PORTAL SUBA - AVENIDA CALI,3
1515,113B,Ruta VILLA ALEXANDRA - PALOQUEMAO,3
1604,16,Ruta PORTAL AMERICAS - PORTAL DE USME,3
1766,3-8,Ruta PORTAL USME - VIRREY,3
1615,C101,Ruta EL PALMAR - PROVIDENCIA,3
1768,6-1,Ruta PORTAL TUNAL - CANDELARIA,3
1624,P39,Ruta ZONA FRANCA - ARABIA,3
1642,14-3,Ruta BICENTENARIO - GIRARDOT,3
